age,nettohh,female,educ_low,educ_med,educ_high,occup_market,occup_house,occup_retired,occup_else,partner,nkids,ID,e_star,e_double_star
34,3700,1,0,1,0,0,0,0,1,1,2,106,0.925814703594369,0.544753086425771
34,3700,1,0,1,0,1,0,0,0,1,0,107,0.733169075050682,0.1980952380909
34,3700,1,0,1,0,1,0,0,0,1,1,108,0.987850846380752,0.567779763230646
34,3700,1,0,1,0,1,0,0,0,1,2,109,0.465798045603151,0.359677695865685
34,3700,1,1,0,0,0,0,0,1,1,2,110,0.64055215803819,0.478075106810138
34,3700,1,1,0,0,0,1,0,0,0,0,111,0.928367748281744,0.928367748281744
34,3700,1,1,0,0,1,0,0,0,1,0,112,0.878395685045689,0.492131304497889
34,3700,1,1,0,0,1,0,0,0,1,1,113,1,0.840848789746815
34,3700,1,1,0,0,1,0,0,0,1,2,114,0.930736016081937,0.605523677404562
52,1650,0,0,0,1,0,0,0,1,0,0,115,0.354328297260508,0.232739420935104
52,1650,0,0,0,1,0,0,0,1,1,2,116,1,0.159322033905482
52,1650,0,0,0,1,1,0,0,0,0,0,117,0.678482285547943,0.658239083371882
52,1650,0,0,0,1,1,0,0,0,1,0,118,0.717353917534638,0.500729927000066
52,1650,0,0,0,1,1,0,0,0,1,2,119,0.702644485856581,0.626873551438621
52,1650,0,0,1,0,0,0,0,1,0,0,120,0.971172548604954,0.962264150941337
52,1650,0,0,1,0,0,0,0,1,1,0,121,0.743732399198052,0.689182915499259
52,1650,0,0,1,0,0,0,0,1,1,1,122,0.914766378824424,0.914766378824424
52,1650,0,0,1,0,0,0,1,0,1,0,123,0.787678053420677,0.248587570626114
52,1650,0,0,1,0,1,0,0,0,0,0,124,0.677295918365417,0.618511522472545
52,1650,0,0,1,0,1,0,0,0,0,1,125,0.928675534283684,0.748623065002903
52,1650,0,0,1,0,1,0,0,0,0,2,126,0.73166080685769,0.73166080685769
52,1650,0,0,1,0,1,0,0,0,1,0,127,0.177304964534414,0.10233029381925
52,1650,0,0,1,0,1,0,0,0,1,2,128,0.552937606051273,0.43857858217234
52,1650,0,1,0,0,0,0,0,1,0,0,129,0.768380527624686,0.47534450978128
52,1650,0,1,0,0,0,0,0,1,1,0,130,0.722607927287754,0.465591126798245
52,1650,0,1,0,0,0,0,0,1,1,1,131,0.547142857139988,0.358034970857261
52,1650,0,1,0,0,0,0,0,1,1,2,132,0.80963354807318,0.705293388506107
52,1650,0,1,0,0,1,0,0,0,0,0,133,0.485677083335759,0.183276059564378
52,1650,0,1,0,0,1,0,0,0,0,1,134,0.750238684289798,0.749765217908134
52,1650,0,1,0,0,1,0,0,0,1,0,135,0.686243666226801,0.649282516846142
52,1650,0,1,0,0,1,0,0,0,1,1,136,0.668189233278099,0.663621533436526
52,1650,0,1,0,0,1,0,0,0,1,2,137,0.456233819837507,0.271668657725968
52,1650,1,0,0,1,0,0,0,1,0,0,138,0.647244661282457,0.457772621804907
52,1650,1,0,0,1,0,0,1,0,1,0,139,0.959774227689195,0.903763545029506
52,1650,1,0,0,1,0,1,0,0,1,2,140,0.979914438496053,0.874519072218391
52,1650,1,0,0,1,1,0,0,0,0,0,141,0.55099985482957,0.459077284634986
52,1650,1,0,0,1,1,0,0,0,0,2,142,0.992897957454261,0.973272881230514
52,1650,1,0,0,1,1,0,0,0,1,1,143,0.619756191277702,0.494533591954678
52,1650,1,0,1,0,0,0,0,1,0,0,144,0.963643275659706,0.618331747544289
52,1650,1,0,1,0,0,1,0,0,1,0,145,0.708317316872126,0.62980130303913
52,1650,1,0,1,0,0,1,0,0,1,2,146,0.646555330989941,0.597493036206288
52,1650,1,0,1,0,1,0,0,0,0,0,147,0.692230123378977,0.322071227237757
52,1650,1,0,1,0,1,0,0,0,0,2,148,0.907341078891477,0.638756976586592
52,1650,1,0,1,0,1,0,0,0,1,0,149,0.777310317040246,0.396394247967692
52,1650,1,0,1,0,1,0,0,0,1,1,150,1,0.541077816225879
52,1650,1,0,1,0,1,0,0,0,1,2,151,0.651309122615203,0.651309122615203
52,1650,1,1,0,0,0,0,0,1,0,0,152,0.703572649574198,0.690222780765907
52,1650,1,1,0,0,0,0,0,1,0,1,153,0.929826452520501,0.797480620160059
52,1650,1,1,0,0,0,0,0,1,1,0,154,0.703265585420013,0.644392697467993
52,1650,1,1,0,0,0,1,0,0,1,0,155,0.462889767244633,0.379795396416739
52,1650,1,1,0,0,0,1,0,0,1,1,156,0.488479262676265,0.382089332946634
52,1650,1,1,0,0,0,1,0,0,1,2,157,0.618580016343913,0.291006748382642
52,1650,1,1,0,0,1,0,0,0,0,0,158,0.829285876905487,0.744439037960547
52,1650,1,1,0,0,1,0,0,0,0,1,159,1,0.463511090805696
52,1650,1,1,0,0,1,0,0,0,1,0,160,0.469432421195961,0.440026410382416
52,1650,1,1,0,0,1,0,0,0,1,2,161,0.736701752968656,0.642800891400839
52,2525,0,0,0,1,0,0,0,1,1,2,162,0.997966699920653,0.908722691492585
52,2525,0,0,0,1,0,0,1,0,1,0,163,0.96647090229817,0.789120519919379
52,2525,0,0,0,1,1,0,0,0,0,0,164,0.611911298845371,0.611911298845371
52,2525,0,0,0,1,1,0,0,0,0,1,165,1,0.987348011833092
52,2525,0,0,0,1,1,0,0,0,1,0,166,0.638682040480489,0.627621002546221
52,2525,0,0,0,1,1,0,0,0,1,1,167,0.783244680853386,0.783244680853386
52,2525,0,0,0,1,1,0,0,0,1,2,168,0.71332409245224,0.666487589980534
52,2525,0,0,1,0,0,0,0,1,1,0,169,0.883474842914438,0.883474842914438
52,2525,0,0,1,0,1,0,0,0,0,0,170,0.91161223367817,0.450132331978239
52,2525,0,0,1,0,1,0,0,0,1,0,171,0.588403968569764,0.344947325058456
52,2525,0,0,1,0,1,0,0,0,1,1,172,0.599170764638984,0.593288978889177
52,2525,0,0,1,0,1,0,0,0,1,2,173,0.654101369793352,0.586396120466816
52,2525,0,1,0,0,0,0,0,1,0,0,174,0.986306076367327,0.944535880909825
52,2525,0,1,0,0,0,0,0,1,1,0,175,0.891999477949867,0.891298894588544
52,2525,0,1,0,0,0,0,0,1,1,2,176,0.9595819811002,0.901390590406663
52,2525,0,1,0,0,1,0,0,0,1,0,177,0.52281007606507,0.422844026667008
52,2525,0,1,0,0,1,0,0,0,1,1,178,0.415181698386732,0.415181698386732
52,2525,0,1,0,0,1,0,0,0,1,2,179,0.452421608199074,0.282041515900346
52,2525,1,0,0,1,0,0,0,1,0,0,180,0.834828010476485,0.834828010476485
52,2525,1,0,0,1,0,0,0,1,1,0,181,0.729367188825563,0.631343283581373
52,2525,1,0,0,1,0,0,0,1,1,2,182,0.796736759184569,0.599003151139186
52,2525,1,0,0,1,0,1,0,0,1,2,183,0.832469775479694,0.579707020158821
52,2525,1,0,0,1,1,0,0,0,0,0,184,0.294627383009356,0.21356783920055
52,2525,1,0,0,1,1,0,0,0,0,2,185,0.996927727908769,0.987673343603092
52,2525,1,0,0,1,1,0,0,0,1,0,186,0.322225163814437,0.229793977814552
52,2525,1,0,0,1,1,0,0,0,1,2,187,0.586690075891966,0.351950354604924
52,2525,1,0,1,0,0,0,0,1,1,0,188,0.536010709511174,0.133868808574334
52,2525,1,0,1,0,0,1,0,0,1,0,189,1,1
52,2525,1,0,1,0,0,1,0,0,1,2,190,0.647768128525058,0.280953332672652
52,2525,1,0,1,0,1,0,0,0,0,0,191,0.974733619928884,0.861083346950181
52,2525,1,0,1,0,1,0,0,0,0,1,192,1,0.933204976296111
52,2525,1,0,1,0,1,0,0,0,0,2,193,0.778368495557515,0.685263487197517
52,2525,1,0,1,0,1,0,0,0,1,0,194,0.867640766875411,0.397153713252919
52,2525,1,0,1,0,1,0,0,0,1,1,195,0.702553375645948,0.613170802076638
52,2525,1,0,1,0,1,0,0,0,1,2,196,0.908815370385128,0.902710308546375
52,2525,1,1,0,0,0,0,0,1,1,0,197,0.799764953299018,0.799764953299018
52,2525,1,1,0,0,0,0,0,1,1,2,198,1,0.971555441145028
52,2525,1,1,0,0,0,1,0,0,1,0,199,0.853306296055962,0.247143775653967
52,2525,1,1,0,0,0,1,0,0,1,1,200,0.819871424035227,0.799953555055254
52,2525,1,1,0,0,0,1,0,0,1,2,201,0.687229093986389,0.636048025458877
52,2525,1,1,0,0,1,0,0,0,1,0,202,0.557255303523561,0.340367802236869
52,2525,1,1,0,0,1,0,0,0,1,1,203,0.999142498134461,0.978049388875661
52,2525,1,1,0,0,1,0,0,0,1,2,204,0.822444080382411,0.542733958915051
52,3700,0,0,0,1,0,0,0,1,1,1,205,0.605212904956716,0.558035615038534
52,3700,0,0,0,1,1,0,0,0,0,0,206,0.166423357666645,0.115736040614138
52,3700,0,0,0,1,1,0,0,0,1,0,207,0.458268614900589,0.300668176605541
